TIME,AMPLITUDE
11578,-0.252547237
11580,-0.95075387
11582,-0.774164782
11584,0.115080642
11586,0.898422006
11588,0.854408575
11590,0.023199378
11592,-0.829440043
11594,-0.917596156
11596,-0.159709991
11598,0.745633038
11600,0.963082427
11602,0.291752263
11604,-0.64895217
11606,-0.990511454
11608,-0.417126761
11610,0.541703554
11612,0.999989411
11614,0.533863148
11616,-0.426081155
11618,-0.99191787
11620,-0.640008864
11622,0.304290006
11624,0.966976471
11626,0.734153281
11628,-0.178796765
11630,-0.926174093
11632,-0.815092991
11634,0.051748727
11636,0.870700643
11638,0.881966455
11640,0.074807488
11642,-0.801892005
11644,-0.934058316
11646,-0.198662221
11648,0.721398255
11650,0.971093406
11652,0.318048077
11654,-0.63082923
11656,-0.993021048
11658,-0.431278212
11660,0.531834914
11662,0.999995294
11664,0.536940186
11666,-0.426341344
11668,-0.992456044
11670,-0.633577706
11672,0.31604767
11674,0.971001795
11676,0.720202079
11678,-0.202607039
11680,-0.936467591
11682,-0.79601103
11684,0.087898566
11686,0.889793344
11688,0.860232085
11690,0.026553921
11692,-0.832001876
11694,-0.912492137
11696,-0.139234285
11698,0.764364226
11700,0.952579441
11702,0.248834749
11704,-0.688080985
11706,-0.98037161
11708,-0.353894532
11710,0.604365917
11712,0.996027645
11714,0.453375338
11716,-0.514678264
11718,-0.999823449
11720,-0.546369294
11722,0.420261121
11724,0.992171316
11726,0.631870129
11728,-0.322316923
11730,-0.973622379
11732,-0.709272826
11734,0.222280576
11736,0.944793481
11738,0.778094353
11740,-0.121268761
11742,-0.906474291
11744,-0.8378062
11746,0.020323846
11748,0.859448892
11750,0.888212928
11752,0.079300156
11754,-0.804519153
11756,-0.929216365
11758,-0.176721133
11760,0.742687033
11762,0.960723715
11764,0.27114516
11766,-0.674820152
11768,-0.982894252
11770,-0.36159398
11772,0.601765678
11774,0.995881193
11776,0.44746912
11778,-0.524589683
11780,-0.999997569
11782,-0.528257809
11784,0.444122145
11786,0.995598341
11788,0.603296007
11790,-0.361147006
11792,-0.983123032
11794,-0.672269024
11796,0.276677576
11798,0.963056613
11800,0.734933956
11802,-0.191327632
11804,-0.935894669
11806,-0.790934727
11808,0.106028495
11810,0.902260333
11812,0.840205869
11814,-0.021378228
11816,-0.862714994
11818,-0.882733453
11820,-0.062086265
11822,0.817805573
11824,0.91843256
11826,0.143600154
11828,-0.768244791
11830,-0.947462994
11832,-0.222747927
11834,0.714591623
11836,0.96989132
11838,0.29917131
11840,-0.657373319
11842,-0.98594205
11844,-0.372296201
11846,0.597315234
11848,0.995855073
11850,0.441887375
11852,-0.534835611
11854,-0.999874879
11856,-0.507756798
11858,0.470635583
11860,0.99831826
11862,0.569520519
11864,-0.405153663
11866,-0.991499003
11868,-0.627177145
11870,0.338784827
11872,0.979781308
11874,0.680460501
11876,-0.272160113
11878,-0.963494251
11880,-0.729383276
11882,0.205610413
11884,0.94305255
11886,0.773982691
11888,-0.139424162
11890,-0.918811393
11892,-0.814147684
11894,0.074138236
11896,0.891102261
11898,0.850044895
11900,-0.009874841
11902,-0.860378708
11904,-0.881649951
11906,-0.052897637
11908,0.82691456
11910,0.909128054
11912,0.114032973
11914,-0.79116933
11916,-0.932647325
11918,-0.173417375
11920,0.753439009
11922,0.952287269
11924,0.230684974
11926,-0.713987748
11928,-0.968282993
11930,-0.285877835
11932,0.673262083
11934,0.980766572
11936,0.338694621
11938,-0.631424169
11940,-0.989963589
11942,-0.389140044
11944,0.588901607
11946,0.99608718
11948,0.437237174
11950,-0.545887412
11952,-0.999325909
11954,-0.482771609
11956,0.502544062
11958,0.99990602
11960,0.525895027
11962,-0.459261714
11964,-0.99804091
11966,-0.566443109
11968,0.416080868
11970,0.993949167
11972,0.604595042
11974,-0.373363736
11976,-0.98782892
11978,-0.640229836
11980,0.33119677
11982,0.979915359
11984,0.673474723
11986,-0.289642393
11988,-0.970379681
11990,-0.704457917
11992,0.24902046
11994,0.959463502
11996,0.733110869
11998,-0.209268156
12000,-0.947340257
12002,-0.759645812
12004,0.170678495
12006,0.934160993
12008,0.78402128
12010,-0.133155546
12012,-0.920168197
12014,-0.806450903
12016,0.096967552
12018,0.905459594
12020,0.82691456
12022,-0.062086265
12024,-0.890274135
12026,-0.845570896
12028,0.028470671
12030,0.874679609
12032,0.862569511
12034,0.003643196
12036,-0.858909274
12038,-0.877912799
12040,-0.034411899
12042,0.843002016
12044,0.891797337
12046,0.063617213
12048,-0.827184027
12050,-0.904235092
12052,-0.091431606
12054,0.811522944
12056,0.915410129
12058,0.117651648
12060,-0.796069057
12062,-0.925340308
12064,-0.142461497
12066,0.781036677
12068,0.934160993
12070,0.165669561
12072,-0.76640039
12074,-0.941995402
12076,-0.187373781
12078,0.752366351
12080,0.948864444
12082,0.207674112
12084,-0.738887324
12086,-0.954913742
12088,-0.226391499
12090,0.726161438
12092,0.960163051
12094,0.243724113
12096,-0.714121988
12098,-0.964741357
12100,-0.259498099
12102,0.702959339
12104,0.968665128
12106,0.273912501
12108,-0.692589598
12110,-0.972046703
12112,-0.286796429
12114,0.683195677
12116,0.974897426
12118,0.298347855
12120,-0.674749396
12122,-0.977313306
12124,-0.308396895
12126,0.667214189
12128,0.979298954
12130,0.317138976
12132,-0.66076225
12134,-0.980934624
12136,-0.324403553
12138,0.655275614
12140,0.982216759
12142,0.330382481
12144,-0.65091947
12146,-0.983210617
12148,-0.334903179
12150,0.647565166
12152,0.983903166
12154,0.338153321
12156,-0.645370786
12158,-0.984328661
12160,-0.339957218
12162,0.644198266
12164,0.984514088
12166,0.340407997
12168,-0.644198266
12170,-0.984429939
12172,-0.339596538
12174,0.645224304
12176,0.984108109
12178,0.337341162
12180,-0.64741904
12182,-0.983506718
12184,-0.333818909
12186,0.650628293
12188,0.982646167
12190,0.32884371
12192,-0.654985877
12194,-0.981471158
12196,-0.322589181
12198,0.660330366
12200,0.979991761
12202,0.31486495
12204,-0.6667856
12206,-0.978138298
12208,-0.305842168
12210,0.674183123
12212,0.975911742
12214,0.295326621
12216,-0.682635393
12218,-0.973227178
12220,-0.283488261
12222,0.691966929
12224,0.970077826
12226,0.270129905
12228,-0.702277132
12230,-0.966362821
12232,-0.255421864
12234,0.713383341
12236,0.962069112
12238,0.239165289
12240,-0.725369971
12242,-0.957079379
12244,-0.221532708
12246,0.738046918
12248,0.951375974
12250,0.202325374
12252,-0.751481484
12254,-0.944824892
12256,-0.181720167
12258,0.765475811
12260,0.937405803
12262,0.159615347
12264,-0.78007781
12266,-0.929003638
12268,-0.135910609
12270,0.795081602
12272,0.919491164
12274,0.110793927
12276,-0.810513357
12278,-0.908848318
12280,-0.08407782
12282,0.82615904
12284,0.896901009
12286,0.055961049
12288,-0.842020759
12290,-0.883632802
12292,-0.0262664
12294,0.857876441
12296,0.868855633
12298,-0.004793672
12300,-0.873701963
12302,-0.852560004
12304,0.03738207
12306,0.889267715
12308,0.83454609
12310,-0.071269634
12312,-0.904480591
12314,-0.814815184
12316,0.106600478
12318,0.919227134
12320,0.793158752
12322,-0.143125736
12324,-0.93326856
12326,-0.769593314
12328,0.180965893
12330,0.946508143
12332,0.743905616
12334,-0.21984953
12336,-0.958703475
12338,-0.716132443
12340,0.259868438
12342,0.969727659
12344,0.686060819
12346,-0.300726119
12348,-0.979337749
12350,-0.653753423
12352,0.342390495
12354,0.987377456
12356,0.619078891
12358,-0.384808238
12360,-0.993607501
12362,-0.581906061
12364,0.42764176
12366,0.997844267
12368,0.542348103
12370,-0.47088934
12372,-0.999857641
12374,-0.500221395
12376,0.514184976
12378,0.999443471
12380,0.45568108
12382,-0.557481948
